comments,sentiment
chak de fat de india who is from india,Positive Comment
Anybody from 2024--------------&gt;,Positive Comment
The fact you realise that this song views are more than world population 😅🎶,Positive Comment
Who is watching this masterpiece in 14 feb 2024,Positive Comment
I remember listening to this when it came out,Positive Comment
Muito bom 😊😊,Positive Comment
THEY LYRICS THO,Positive Comment
fortnite👨🏻,Positive Comment
"População mundial com 8.019 bilhões.<br><br>Despacito com 8.377 bilhões de views. Algo de errado, tá muito errado.",Positive Comment
Como es posible que esta canción tenga 8 billones de reproducciones lol,Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=5"">0:05</a>",Negative Comment
"<a href=""https://youtube.com/@gamefinity000?si=4OCx7Q296VrQXU5W"">https://youtube.com/@gamefinity000?si=4OCx7Q296VrQXU5W</a>",Positive Comment
Một người việt nam. Cảm nhận tuyệt vời về bài hát,Positive Comment
Punjabi,Positive Comment
"fire fire jui jui wooooooooooo haaaaaaaaaaa despacito woooooo aaaaaaaaaaaaaaa kelaaaaa laura love from assam to u all of u here love u bohut vibe korilu kelaaa mojaaaaa late nights with futsal and game , moja lagise kela moja ako enke bonaba gompaisoo love you all keep this up and have fun despacito mane ki hoi no asnwer me  ASAP. LOVE FROM ASSAM TO U ALL COME TO ASSAM TO PERFORM A PERFORMANCE FOR US WE ALL CHERISH U FOR SURE SO DO COME HERE ASAP LOVE FROM ASSAM . MY NAME IS BORNO PROTIM DUWARA MUR GHAR IS IN TINSUKIA",Positive Comment
้,Positive Comment
❤❤❤,Positive Comment
Кто слушает это  в 2024?,Positive Comment
quien esta aqui en 2024,Positive Comment
Who is here in 2024,Positive Comment
I love car 1% <br> I love car 2%<br>  I love car 3%<br>   I love car 4%<br>    I love car 5%<br>     I love car 6%<br>      I love car 7%<br>       I love car 8%<br>        I love car 9%<br>         I love car 10%<br>          I love car 11%<br>           I love car 12%<br>            I love car 13%<br>             I love car 14%<br>              I love car 15%<br>               I love car 16%<br>                I love car 17%<br>                 I love car 18%<br>                  I love car 19%<br>                   I love car 20%<br>                  I love car 21%<br>                 I love car 22%<br>                I love car 23%<br>               I love car 24%<br>              I love car 25%<br>             I love car 26%<br>            I love car 27%<br>           I love car 28%<br>          I love car 29%<br>         I love car 30%<br>        I love car 31%<br>       I love car 32%<br>      I love car 33%<br>     I love car 34%<br>    I love car 35%<br>   I love car 36%<br>  I love car 37%<br> I love car 38%<br>I love car 39%<br> I love car 40%<br>  I love car 41%<br>   I love car 42%<br>    I love car 43%<br>     I love car 44%<br>      I love car 45%<br>       I love car 46%<br>        I love car 47%<br>         I love car 48%<br>          I love car 49%<br>           I love car 50%<br>            I love car 51%<br>             I love car 52%<br>              I love car 53%<br>               I love car 54%<br>                I love car 55%<br>                 I love car 56%<br>                  I love car 57%<br>                   I love car 58%<br>                  I love car 59%<br>                 I love car 60%<br>                I love car 61%<br>               I love car 62%<br>              I love car 63%<br>             I love car 64%<br>            I love car 65%<br>           I love car 66%<br>          I love car 67%<br>         I love car 68%<br>        I love car 69%<br>       I love car 70%<br>      I love car 71%<br>     I love car 72%<br>    I love car 73%<br>   I love car 74%<br>  I love car 75%<br> I love car 76%<br>I love car 77%<br> I love car 78%<br>  I love car 79%<br>   I love car 80%<br>    I love car 81%<br>     I love car 82%<br>      I love car 83%<br>       I love car 84%<br>        I love car 85%<br>         I love car 86%<br>          I love car 87%<br>           I love car 88%<br>            I love car 89%<br>             I love car 90%<br>              I love car 91%<br>               I love car 92%<br>                I love car 93%<br>                 I love car 94%<br>                  I love car 95%<br>                   I love car 96%<br>                  I love car 97%<br>                 I love car 98%<br>                I love car 99%<br>               I love car 100%<br>              I love car 101%<br>             I love car 102%<br>            I love car 103%<br>           I love car 104%<br>          I love car 105%<br>         I love car 106%<br>        I love car 107%<br>       I love car 108%<br>      I love car 109%<br>     I love car 110%<br>    I love car 111%<br>   I love car 112%<br>  I love car 113%<br> I love car 114%<br>I love car 115%<br> I love car 116%<br>  I love car 117%<br>   I love car 118%<br>    I love car 119%<br>     I love car 120%<br>      I love car 121%<br>       I love car 122%<br>        I love car 123%<br>         I love car 124%<br>          I love car 125%<br>           I love car 126%<br>            I love car 127%<br>             I love car 128%<br>              I love car 129%<br>               I love car 130%<br>                I love car 131%<br>                 I love car 132%<br>                  I love car 133%<br>                   I love car 134%<br>                  I love car 135%<br>                 I love car 136%<br>                I love car 137%<br>               I love car 138%<br>              I love car 139%<br>             I love car 140%<br>            I love car 141%<br>           I love car 142%<br>          I love car 143%<br>         I love car 144%<br>        I love car 145%<br>       I love car 146%<br>      I love car 147%<br>     I love car 148%<br>    I love car 149%<br>   I love car 150%<br>  I love car 151%<br> I love car 152%<br>I love car 153%<br> I love car 154%<br>  I love car 155%<br>   I love car 156%<br>    I love car 157%<br>     I love car 158%<br>      I love car 159%<br>       I love car 160%<br>        I love car 161%<br>         I love car 162%<br>          I love car 163%<br>           I love car 164%<br>            I love car 165%<br>             I love car 166%<br>              I love car 167%<br>               I love car 168%<br>                I love car 169%<br>                 I love car 170%<br>                  I love car 171%<br>                   I love car 172%<br>                  I love car 173%<br>                 I love car 174%<br>                I love car 175%<br>               I love car 176%<br>              I love car 177%<br>             I love car 178%<br>            I love car 179%<br>           I love car 180%<br>          I love car 181%<br>         I love car 182%<br>        I love car 183%<br>       I love car 184%<br>      I love car 185%<br>     I love car 186%<br>    I love car 187%<br>   I love car 188%<br>  I love car 189%<br> I love car 190%<br>I love car 191%<br> I love car 192%<br>  I love car 193%<br>   I love car 194%<br>    I love car 195%<br>     I love car 196%<br>      I love car 197%<br>       I love car 198%<br>        I love car 199%<br>         I love car 200%<br>          I love car 201%<br>           I love car 202%<br>            I love car 203%<br>             I love car 204%<br>              I love car 205%<br>               I love car 206%<br>                I love car 207%<br>                 I love car 208%<br>                  I love car 209%<br>                   I love car 210%<br>                  I love cae 211%<br>                 I love car 212%<br>                I love car 213%<br>               I love car 214%<br>              I love car 215%<br>             I love car 216%<br>            I love car 217%<br>           I love car 218%<br>          I love car 219%<br>         I love car 220%<br>        I love car 221%<br>       I love car 222%<br>      I love car 223%<br>     I love car 224%<br>    I love car 225%<br>   I love car 226%<br>  I love car 227%<br> I love car 228%<br>I love car 229%<br> I love car 230%<br>  I love car 231%<br>   I love car 232%<br>    I love car 233%<br>     I love car 234%<br>      I love car 235%<br>       I love car 236%<br>        I love car 237%<br>         I love car 238%<br>          I love car 239%<br>           I love car 240%<br>            I love car 241%<br>             I love car 242%<br>              I love car 243%<br>               I love car 244%<br>                I love car 245%<br>                 I love car 246%<br>                  I love car 247%<br>                   I love car 248%<br>                  I love car 249%<br>                 I love car 250%<br>                I love car 251%<br>               I love car 252%<br>              I love car 253%<br>             I love car 254%<br>            I love car 255%<br>           I love car 256%<br>          I love car 257%<br>         I love car 258%<br>        I love car 259%<br>       I love car 260%<br>      I love car 261%<br>     I love car 262%<br>    I love car 263%<br>   I love car 264%<br>  I love car 265%<br> I love car 266%<br>I love car 267%<br> I love car 268%<br>  I love car 269%<br>   I love car 270%<br>    I love car 271%<br>     I love car 272% <br>      l love car 273%<br>       I love car 274%<br>        I love car 275%<br>         I love car 276%<br>          I love car 277%<br>           I love car 278%<br>            I love car 279%<br>             I love car 280%<br>              I love car 281%<br>               I love car 282%<br>                I love car 283%<br>                 I love car 284%<br>                  I love car 285%<br>                   I love car 286%<br>                  I love car 287%<br>                 I love car 288%<br>                I love car 289%<br>               I love car 290%<br>              I love car 291%<br>             I love car 292%<br>            I love car 293%<br>           I love car 294%<br>          I love car 295%<br>         I love car 296%<br>        I love car 297%<br>       I love car 298%<br>      I love ca 299%<br>     I love car 300%<br>    I love car 301%<br>   I love car 302%<br>  I love car 303%<br> I love car 304%<br>I love car 305%<br> I love car 306%<br>  I love car 307%<br>   I love car 308%<br>    I love car 309%<br>     I love car 310%<br>      I love car 311%<br>       I love car 312%<br>        I love car 313%<br>         I love car 314%<br>          I love car 315%<br>           I love car 316%<br>            I love car 317%<br>             I love car 318%<br>              I love car 319%<br>               I love car 320%<br>                I love car 321%<br>                 I love car 322%<br>                  I love car 323%<br>                   I love car 324%<br>                  I love car 325%<br>                 I love car 326%<br>                I love car 327%<br>               I love car 328%<br>              I love car 329%<br>             I love car 330%<br>            I love car 331%<br>           I love car 332%<br>          I love car 333%<br>         I love car 334%<br>        I love car 335%<br>       I love car 336%<br>      I love car 337%<br>     I love car 338%<br>    I love car 339%<br>   I love car 340%<br>  I love car 341%<br> I love car 342%<br>I love car 343%<br> I love car 344%<br>  I love car 345%<br>   I love car 346%<br>    I love car 347%<br>     I love car 348%<br>      I love car 349%<br>       I love car 350%<br>        I love car 351%<br>         I love car 352%<br>          I love car 353%<br>           I love car 354%<br>            I love car 355%<br>             I love car 356%<br>              I love car 357%<br>               I love car 358%<br>                I love car 359%<br>                 I love car 360%<br>                  I love car 361%<br>                   I love car 362%<br>                  I love car 363%<br>                 I love car 364%<br>                I love car 365%<br>               I love car 366%<br>              I love car 367%<br>             I love car 368%<br>            I love car 369%<br>           I love car 370%<br>          I love car 371%<br>         I love car 372%<br>        I love car 373%<br>       I love car 374%<br>      I love car 375%<br>     I love car 376%<br>    I love car 377%<br>   I love car 378%<br>  I love car 379%<br> I love car 380%<br>I love car 381%<br> I love car 382%<br>  I love car 383%<br>   I love car 384%<br>    I love car 385%<br>     I love car 386%<br>      I love car 387%<br>       I love car 388%<br>        I love car 389%<br>         I love car 390%<br>          I love car 391%<br>           I love car 392%<br>            I love car 393%<br>             I love car 394%<br>              I love car 395%<br>               I love car 396%<br><br>Pls subscribe to our channel,Positive Comment
❤❤❤,Positive Comment
The fact you realise that this song views are more than world population 😅,Positive Comment
"Nous sommes en 2024, je suis Haitienne.  Quelle belle chanson. Voyons combien de personnes aiment cette mélodie 🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹",Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=87"">1:27</a>  AYO!",Positive Comment
willie Wonka chicken nugget peanut butter hot dog sausage whopper whopper chili flopper,Negative Comment
willie Wonka chicken nugget peanut butter hot dog sausage whopper whopper chili flopper,Negative Comment
willie Wonka chicken nugget peanut butter hot dog sausage whopper whopper chili flopper,Negative Comment
willie Wonka chicken nugget peanut butter hot dog sausage whopper whopper chili flopper,Negative Comment
from thailand...2024😍😍,Positive Comment
Who&#39;s listen this song 2024🎉🎉,Positive Comment
Zuleyka Rivera Miss Universe 2006 from PUERTO RICO,Negative Comment
👍👍👍👍,Positive Comment
Any Indian 🇮🇳 here  👀❤🎉,Positive Comment
3001 any one ?,Negative Comment
2024,Positive Comment
Who&#39;s still watching in 2024?,Positive Comment
"😮There are as many views as humans on this planet, perhaps even more 👌👌👌",Positive Comment
2024?!😭😭 still hits the same🥵🔥,Negative Comment
14-Feb-24,Positive Comment
play beta is the best,Positive Comment
বাঙালি কেউ কমেন্টে আসলে লাইক দিয়েন🤣,Positive Comment
Let the kid ride his bike,Positive Comment
Crazy how the world vibed to this song so much ❤,Positive Comment
Anyone in 14 February 2024 ??,Positive Comment
Most liked video on the whole youtube!<br>Who&#39;s listening this in 2024!,Positive Comment
8 billon views really?😮,Positive Comment
Love from India 🇮🇳🇮🇳,Positive Comment
Dobrá pisnička posloucham ji každý den 😊😊😊,Positive Comment
In the future this song will have 100B I know❤,Positive Comment
Bharat se bhi koi dekh raha hai like thokkooo👍❣️,Positive Comment
Que raro,Negative Comment
I hate this song.,Negative Comment
Bring me back in 2017 missing those golden Days,Positive Comment
P,Negative Comment
Love you brother 🥰🥰😍,Positive Comment
Very nice song 🥰😍😍,Positive Comment
One testament that Latinas are one of the hottest women on earth.,Positive Comment
Who is listening to this masterpiece in 2024 🙋🏻‍♂️ ??,Positive Comment
incrível como essa musica ficou tão famosa🎉🎉🎉❤❤❤,Positive Comment
good,Positive Comment
When I sing this song I always creat a new language 😂,Positive Comment
부동산 시세 에 옷을 입히죠 날개를 달죠 비행기 ✈️ 십자가를 만들고 예수님 대신 짊어집니다 집은 공항이죠,Negative Comment
미국은 걱정 합니다 우리 시장 상권을 놀 곳이 없다고,Negative Comment
세상은 원래 미국 겁니다 그런데 타행 상권이 쌓인겁니다,Negative Comment
고기인줄 알았는데 섬유 랍니다 옷을 만들죠,Negative Comment
살 두께 살 벗기는 겁니다,Negative Comment
주사가 겁나지요 백신이 돈 입니다,Negative Comment
해외여행 BTC 주사 백신이죠 여행자 수표 백지수표 이죠 집을 장만했습니다,Negative Comment
단 해외여행지는 수입이 중단 됩니다 표준어가 아니거든요 미국도 표준어 있죠 예산인데 관광어는 예산이 안갑니다,Negative Comment
돈 지폐 귀신같이 만듭니다,Positive Comment
단 노력하는 분들 수고비 인상을 싸인하면 될일을 왜,Negative Comment
놀면 어때요 돈워리 비해피 인데,Negative Comment
이제 꿈 아닙니다 둘 다 법니다 인천에서 제주특별자치도 국제공항,Negative Comment
제주특별자치도 남반구 인데 호텔 점검을,Negative Comment
제 금리법은 신들의 계산입니다 인간은 조를 다룰수 없다 입니다,Negative Comment
여호와 께서 외롭지 말라고 하늘에 별자리 신들을 주셨습니다 갓 동물이죠,Negative Comment
달러 신탁 엔화가 경비처리 합니다 일본 센세이 킹돔 신들 입니다,Negative Comment
본인거 쓰는겁니다 난 얼굴일뿐,Negative Comment
미국인 신들이시네 알라 금리 제로 달러 경상수지 대출,Negative Comment
여인은 북반구 가면 환생이 됩니다,Negative Comment
환각이라고 다 연출입니다,Negative Comment
이제 본드는 끝 감독님 끝,Negative Comment
진짜 사내는 향수를 깨뜨립니다,Negative Comment
"2024 Feb 14, someone.",Negative Comment
눈이 얼어서 그럽니다 화장품 종합 스멜 향수,Negative Comment
그거 얼음 입니다,Negative Comment
향수를 깨봐,Negative Comment
나 아버지 많다니까,Negative Comment
신탁이쥬 언제는 안 키워주셨나요,Negative Comment
설문대할망 아이유 혼난다 에베레스트,Negative Comment
한라산 이 히말라야 건드리잖아요,Negative Comment
정실교도소 에서 똥 먹고 잠잤습니다,Negative Comment
제가 달러네요 증산인가요 더 이상 살 똥이 없다,Negative Comment
8.2b what!!!<br>That means we are about more than 8.2b in the world<br>I think this view is manipulated,Negative Comment
달러 경상수치 입니다 쓰지않으면 저 또 업니다,Positive Comment
남미 쿠엘류 마약왕 입니다,Negative Comment
DADDY YANKEE ROMPIÓ 🔥,Negative Comment
2024,Positive Comment
세계 어느 누가  이 노래를  불러도  폰시 를  못따라잡는다. 폰시❤❤,Positive Comment
I see mother mery 🙏,Positive Comment
